task,seed,method,stage10_method_alias,train_row_count,validation_row_count,test_row_count,support_class_count,support_head_test_accuracy,selected_position_scale,selected_cue_scale,selected_distance_scale,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error
tiny_text_fact_qa,313,no_position,no_position,12,6,12,7,1.0,0.0,4.487508,1.086608,0.505584,1.657954,0.916667,0.924242,0.707154,0.709565,0.21916,0.37757,1.458735,1.0,1.0,0.687582,0.687582,0.312418,0.485685,1.625288,1.0,1.0,0.618081,0.618081,0.381919
phase_cued_retrieval,313,sinusoidal,sinusoidal,12,6,12,7,1.0,3.74979,3.183712,1.600112,0.361203,1.435054,0.916667,0.958333,0.91532,0.995729,0.079062,3.235393,25.416359,0.333333,0.611111,0.337449,0.984244,0.65091,4.193374,66.245913,0.083333,0.5,0.093942,0.971201,0.887868
exact_offset_passkey,313,sinusoidal,sinusoidal,12,6,12,7,1.0,3.74979,3.183712,1.600112,0.700229,2.014214,1.0,1.0,0.548503,0.548503,0.451497,0.557763,1.746761,1.0,1.0,0.659423,0.659423,0.340577,1.721565,5.593274,0.583333,0.743056,0.392052,0.600934,0.276816
tiny_text_fact_qa,313,sinusoidal,sinusoidal,12,6,12,7,1.0,3.74979,3.183712,1.600112,0.108133,1.114196,1.0,1.0,0.911144,0.911144,0.088856,0.070225,1.072749,1.0,1.0,0.932248,0.932248,0.067752,0.13497,1.144502,1.0,1.0,0.876001,0.876001,0.123999
phase_cued_retrieval,313,alibi,alibi,12,6,12,7,1.0,-0.029433,4.5038,1.029433,0.244005,1.276351,0.916667,0.958333,0.91745,0.988926,0.072259,2.397795,10.998902,0.333333,0.666667,0.350622,0.96793,0.634597,3.377328,29.292407,0.083333,0.541667,0.105381,0.948397,0.865064
exact_offset_passkey,313,alibi,alibi,12,6,12,7,1.0,-0.029433,4.5038,1.029433,2.766139,15.897136,0.25,0.300997,0.270005,0.323256,0.075577,1.85342,6.381604,0.5,0.574123,0.492016,0.526211,0.074921,3.543504,34.587912,0.25,0.345456,0.254517,0.499735,0.249735
tiny_text_fact_qa,313,alibi,alibi,12,6,12,7,1.0,-0.029433,4.5038,1.029433,0.501474,1.651153,0.916667,0.924242,0.710172,0.712606,0.216174,0.371384,1.449739,1.0,1.0,0.691696,0.691696,0.308304,0.478543,1.613722,1.0,1.0,0.622355,0.622355,0.377645
phase_cued_retrieval,313,rope_relative,rope,12,6,12,7,1.0,4.379189,3.947377,1.570498,0.311977,1.366123,0.916667,0.958333,0.914885,0.9923,0.075634,2.93883,18.893731,0.333333,0.666667,0.339997,0.982438,0.649105,4.531455,92.893594,0.083333,0.486111,0.089272,0.977669,0.894335
exact_offset_passkey,313,rope_relative,rope,12,6,12,7,1.0,4.379189,3.947377,1.570498,1.965048,7.135256,0.416667,0.521991,0.30803,0.325833,0.126753,1.223177,3.397967,0.666667,0.726852,0.539811,0.563681,0.133688,2.28586,9.834142,0.416667,0.540608,0.310609,0.455183,0.212318
tiny_text_fact_qa,313,rope_relative,rope,12,6,12,7,1.0,4.379189,3.947377,1.570498,0.327016,1.386824,0.916667,0.958333,0.791888,0.791916,0.143704,0.201089,1.222733,1.0,1.0,0.818626,0.818626,0.181374,0.236605,1.266941,1.0,1.0,0.790104,0.790104,0.209896
phase_cued_retrieval,313,phasewrap_bias,phasewrap_bias,12,6,12,7,1.0,-1.934566,4.480458,0.845088,0.252001,1.286597,0.916667,0.958333,0.917728,0.990652,0.073986,2.461007,11.716607,0.333333,0.666667,0.34933,0.972821,0.639488,3.455913,31.68719,0.083333,0.541667,0.103772,0.955205,0.871872
exact_offset_passkey,313,phasewrap_bias,phasewrap_bias,12,6,12,7,1.0,-1.934566,4.480458,0.845088,2.40729,11.103831,0.25,0.324027,0.280646,0.347,0.098853,1.901331,6.694802,0.5,0.543056,0.49142,0.629767,0.170953,3.678704,39.595062,0.25,0.335849,0.253489,0.558475,0.308475
tiny_text_fact_qa,313,phasewrap_bias,phasewrap_bias,12,6,12,7,1.0,-1.934566,4.480458,0.845088,0.431321,1.53929,0.916667,0.927083,0.748528,0.758727,0.187876,0.291098,1.337895,1.0,1.0,0.748668,0.748668,0.251332,0.404808,1.499015,1.0,1.0,0.669047,0.669047,0.330953
phase_cued_retrieval,313,phasewrap_adapter,phasewrap_adapter,12,6,12,7,1.0,-1.542112,4.498669,0.872752,0.232245,1.261429,0.916667,0.958333,0.918626,0.989226,0.07256,2.316151,10.136582,0.333333,0.666667,0.353372,0.968175,0.634842,3.265222,26.185925,0.083333,0.541667,0.108748,0.947943,0.864609
exact_offset_passkey,313,phasewrap_adapter,phasewrap_adapter,12,6,12,7,1.0,-1.542112,4.498669,0.872752,2.529498,12.547205,0.25,0.322198,0.275992,0.335517,0.087507,1.940225,6.96032,0.5,0.541969,0.486892,0.617297,0.165453,3.732677,41.790848,0.25,0.332489,0.251655,0.547524,0.297524
tiny_text_fact_qa,313,phasewrap_adapter,phasewrap_adapter,12,6,12,7,1.0,-1.542112,4.498669,0.872752,0.453871,1.574395,0.916667,0.925926,0.735835,0.744809,0.19856,0.313588,1.368325,1.0,1.0,0.732257,0.732257,0.267743,0.428575,1.535069,1.0,1.0,0.653735,0.653735,0.346265
phase_cued_retrieval,317,no_position,no_position,12,6,12,7,1.0,0.0,3.782452,0.532491,0.29864,1.348024,0.916667,0.958333,0.895907,0.971301,0.054634,2.233951,9.336678,0.333333,0.666667,0.349286,0.946338,0.613005,3.382818,29.453654,0.0,0.5,0.034282,0.914149,0.914149
exact_offset_passkey,317,no_position,no_position,12,6,12,7,1.0,0.0,3.782452,0.532491,3.247521,25.726481,0.25,0.300382,0.25766,0.471089,0.221089,3.404633,30.103249,0.166667,0.320833,0.178559,0.376571,0.209904,4.207531,67.190439,0.166667,0.251705,0.16234,0.556371,0.389704
tiny_text_fact_qa,317,no_position,no_position,12,6,12,7,1.0,0.0,3.782452,0.532491,0.459534,1.583336,1.0,1.0,0.632651,0.632651,0.367349,0.601591,1.82502,1.0,1.0,0.548643,0.548643,0.451357,1.039286,2.827197,0.916667,0.920139,0.422484,0.425337,0.500621
phase_cued_retrieval,317,sinusoidal,sinusoidal,12,6,12,7,1.0,3.713339,2.007145,1.167252,0.350351,1.419566,0.916667,0.958333,0.890891,0.968003,0.051336,2.737192,15.443555,0.333333,0.611111,0.333284,0.929246,0.595912,3.846379,46.823201,0.0,0.409722,0.025675,0.880778,0.880778
exact_offset_passkey,317,sinusoidal,sinusoidal,12,6,12,7,1.0,3.713339,2.007145,1.167252,0.895861,2.449444,0.833333,0.916667,0.511113,0.619872,0.468087,1.028796,2.797695,0.833333,0.916667,0.41659,0.505475,0.552987,1.53881,4.659042,0.583333,0.763889,0.335563,0.537017,0.38286
tiny_text_fact_qa,317,sinusoidal,sinusoidal,12,6,12,7,1.0,3.713339,2.007145,1.167252,0.156987,1.16998,1.0,1.0,0.854965,0.854965,0.145035,0.201068,1.222708,1.0,1.0,0.818072,0.818072,0.181928,0.397097,1.4875,1.0,1.0,0.687787,0.687787,0.312213
phase_cued_retrieval,317,alibi,alibi,12,6,12,7,1.0,0.277779,3.789451,0.722221,0.304035,1.355316,0.916667,0.958333,0.896255,0.972153,0.055486,2.271502,9.693952,0.333333,0.666667,0.348214,0.948707,0.615374,3.434413,31.013205,0.0,0.5,0.032576,0.917468,0.917468
exact_offset_passkey,317,alibi,alibi,12,6,12,7,1.0,0.277779,3.789451,0.722221,3.243546,25.624418,0.25,0.299751,0.257681,0.470903,0.220903,3.42153,30.616207,0.166667,0.318056,0.178635,0.377775,0.211108,4.229236,68.664728,0.166667,0.252817,0.162249,0.559104,0.392438
tiny_text_fact_qa,317,alibi,alibi,12,6,12,7,1.0,0.277779,3.789451,0.722221,0.456264,1.578167,1.0,1.0,0.634668,0.634668,0.365332,0.599201,1.820664,1.0,1.0,0.54973,0.54973,0.45027,1.036882,2.820409,0.916667,0.920139,0.423342,0.426302,0.49987
phase_cued_retrieval,317,rope_relative,rope,12,6,12,7,1.0,4.662677,3.11703,0.859674,0.363422,1.438243,0.916667,0.958333,0.897923,0.97669,0.060024,2.851889,17.320468,0.333333,0.666667,0.334872,0.96583,0.632497,4.743616,114.848724,0.0,0.444444,0.009854,0.95571,0.95571
exact_offset_passkey,317,rope_relative,rope,12,6,12,7,1.0,4.662677,3.11703,0.859674,2.084504,8.040606,0.333333,0.547222,0.29729,0.44262,0.227614,2.172769,8.782571,0.666667,0.791667,0.231494,0.362209,0.558682,2.445015,11.530722,0.333333,0.541667,0.23712,0.449329,0.344044
tiny_text_fact_qa,317,rope_relative,rope,12,6,12,7,1.0,4.662677,3.11703,0.859674,0.299646,1.349381,1.0,1.0,0.741354,0.741354,0.258646,0.347263,1.41519,1.0,1.0,0.707236,0.707236,0.292764,0.593555,1.810413,0.916667,0.958333,0.609993,0.6107,0.321018
phase_cued_retrieval,317,phasewrap_bias,phasewrap_bias,12,6,12,7,1.0,-1.508248,3.64353,0.494273,0.290099,1.33656,0.916667,0.958333,0.896419,0.971233,0.054566,2.159482,8.666646,0.333333,0.666667,0.352349,0.946342,0.613009,3.27666,26.487161,0.0,0.5,0.038084,0.910837,0.910837
exact_offset_passkey,317,phasewrap_bias,phasewrap_bias,12,6,12,7,1.0,-1.508248,3.64353,0.494273,2.988089,19.847708,0.25,0.337401,0.269434,0.478044,0.228044,3.284155,26.686424,0.166667,0.373843,0.192287,0.420299,0.253633,4.275723,71.932157,0.166667,0.267418,0.163593,0.591508,0.424842
tiny_text_fact_qa,317,phasewrap_bias,phasewrap_bias,12,6,12,7,1.0,-1.508248,3.64353,0.494273,0.413403,1.511955,1.0,1.0,0.662991,0.662991,0.337009,0.542801,1.72082,1.0,1.0,0.582397,0.582397,0.417603,0.959812,2.611204,0.916667,0.922222,0.449999,0.455682,0.477028
phase_cued_retrieval,317,phasewrap_adapter,phasewrap_adapter,12,6,12,7,1.0,-1.132404,3.681612,0.449829,0.279336,1.322252,0.916667,0.958333,0.896063,0.969815,0.053149,2.091059,8.093479,0.333333,0.666667,0.355214,0.943026,0.609692,3.181548,24.084,0.0,0.5,0.041903,0.905953,0.905953
exact_offset_passkey,317,phasewrap_adapter,phasewrap_adapter,12,6,12,7,1.0,-1.132404,3.681612,0.449829,3.085091,21.869467,0.25,0.320883,0.2655,0.472331,0.222331,3.355151,28.649917,0.166667,0.340741,0.187144,0.409691,0.276833,4.321047,75.267428,0.166667,0.263106,0.161796,0.583613,0.416947
tiny_text_fact_qa,317,phasewrap_adapter,phasewrap_adapter,12,6,12,7,1.0,-1.132404,3.681612,0.449829,0.429258,1.536118,1.0,1.0,0.652461,0.652461,0.347539,0.564958,1.759375,1.0,1.0,0.569351,0.569351,0.430649,0.9842,2.67567,0.916667,0.921569,0.44066,0.445397,0.485126
phase_cued_retrieval,331,no_position,no_position,12,6,12,7,1.0,0.0,4.249476,1.786794,0.24985,1.283832,0.916667,0.958333,0.904556,0.976378,0.059711,2.596913,13.422236,0.166667,0.583333,0.201509,0.947089,0.780422,3.08017,21.762097,0.0,0.5,0.047905,0.906034,0.906034
exact_offset_passkey,331,no_position,no_position,12,6,12,7,1.0,0.0,4.249476,1.786794,3.049764,21.110362,0.25,0.33634,0.22127,0.39893,0.237585,3.702629,40.553764,0.333333,0.386988,0.333289,0.660892,0.327559,4.129554,62.150183,0.166667,0.237242,0.105379,0.369728,0.334757
tiny_text_fact_qa,331,no_position,no_position,12,6,12,7,1.0,0.0,4.249476,1.786794,0.330392,1.391513,1.0,1.0,0.721066,0.721066,0.278934,1.069621,2.914274,0.833333,0.840278,0.518107,0.527285,0.330655,0.779744,2.180913,0.916667,0.933333,0.530011,0.53098,0.394841
phase_cued_retrieval,331,sinusoidal,sinusoidal,12,6,12,7,1.0,3.757651,2.542056,1.11868,0.378508,1.460105,0.916667,0.958333,0.907714,0.988081,0.071414,3.831896,46.149969,0.166667,0.527778,0.173149,0.970842,0.804175,4.361409,78.367485,0.0,0.416667,0.0151,0.948969,0.948969
exact_offset_passkey,331,sinusoidal,sinusoidal,12,6,12,7,1.0,3.757651,2.542056,1.11868,0.931593,2.538551,0.916667,0.958333,0.494327,0.570678,0.499948,1.437949,4.212049,0.5,0.722222,0.436924,0.723587,0.43195,1.418818,4.132231,0.833333,0.916667,0.309197,0.434058,0.668003
