task,seed,method,stage10_method_alias,train_row_count,validation_row_count,test_row_count,support_class_count,support_head_test_accuracy,selected_position_scale,selected_cue_scale,selected_distance_scale,routing_position_scale,routing_support_scale,routing_distance_scale,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error
phase_cued_retrieval,311,sinusoidal,sinusoidal,12,6,12,7,1.0,2.189591,4.163455,6.760104,2.189591,4.163455,6.760104,0.142396,1.153033,0.916667,0.958333,0.899132,0.91655,0.021964,1.176746,3.243801,0.333333,0.666667,0.439933,0.833491,0.518602,1.853448,6.381786,0.166667,0.583333,0.223774,0.70321,0.618411
exact_offset_passkey,311,sinusoidal,sinusoidal,12,6,12,7,1.0,2.189591,4.163455,6.760104,2.189591,4.163455,6.760104,0.916327,2.500091,0.666667,0.805556,0.558178,0.674479,0.167171,1.204732,3.335863,0.833333,0.888889,0.373495,0.453758,0.577227,1.647317,5.193028,0.583333,0.729167,0.308057,0.539581,0.48439
tiny_text_fact_qa,311,sinusoidal,sinusoidal,12,6,12,7,1.0,2.189591,4.163455,6.760104,2.189591,4.163455,6.760104,0.152628,1.164891,1.0,1.0,0.859684,0.859684,0.140316,0.17771,1.194478,1.0,1.0,0.837938,0.837938,0.162062,0.321233,1.378827,1.0,1.0,0.736818,0.736818,0.263182
phase_cued_retrieval,311,alibi,alibi,12,6,12,7,1.0,-2.286412,5.233036,2.286412,-2.286412,5.233036,2.286412,0.277593,1.319949,0.833333,0.916667,0.838803,0.902327,0.144884,1.474569,4.369151,0.333333,0.666667,0.376989,0.805628,0.564866,2.295694,9.931325,0.083333,0.541667,0.129156,0.761299,0.725745
exact_offset_passkey,311,alibi,alibi,12,6,12,7,1.0,-2.286412,5.233036,2.286412,-2.286412,5.233036,2.286412,2.193697,8.968309,0.416667,0.487185,0.427307,0.593188,0.19427,3.781799,43.894928,0.166667,0.28691,0.133266,0.33355,0.281043,4.18752,65.859289,0.25,0.28605,0.193594,0.491293,0.335088
tiny_text_fact_qa,311,alibi,alibi,12,6,12,7,1.0,-2.286412,5.233036,2.286412,-2.286412,5.233036,2.286412,0.323029,1.381306,1.0,1.0,0.729101,0.729101,0.270899,0.395843,1.485636,1.0,1.0,0.676366,0.676366,0.323634,0.578145,1.782729,1.0,1.0,0.569338,0.569338,0.430662
phase_cued_retrieval,311,rope_relative,rope,12,6,12,7,1.0,2.411557,4.745592,6.146435,2.411557,4.745592,6.146435,0.174185,1.190275,0.833333,0.916667,0.884673,0.916825,0.109767,1.221541,3.392411,0.333333,0.666667,0.430376,0.842408,0.541926,2.207852,9.096153,0.0,0.5,0.125739,0.792195,0.792195
exact_offset_passkey,311,rope_relative,rope,12,6,12,7,1.0,2.411557,4.745592,6.146435,2.411557,4.745592,6.146435,1.681242,5.372227,0.5,0.659028,0.445797,0.556352,0.196891,2.460403,11.709533,0.166667,0.419444,0.204844,0.341036,0.206199,2.555986,12.883994,0.333333,0.505556,0.257061,0.459915,0.285774
tiny_text_fact_qa,311,rope_relative,rope,12,6,12,7,1.0,2.411557,4.745592,6.146435,2.411557,4.745592,6.146435,0.250852,1.28512,1.0,1.0,0.780064,0.780064,0.219936,0.281174,1.324684,1.0,1.0,0.756152,0.756152,0.243848,0.363332,1.438114,1.0,1.0,0.698093,0.698093,0.301907
phase_cued_retrieval,311,phasewrap_bias,phasewrap_bias,12,6,12,7,1.0,-1.175135,4.967407,4.173831,-1.175135,4.967407,4.173831,0.28363,1.327941,0.833333,0.916667,0.835952,0.896418,0.146084,1.468897,4.344441,0.333333,0.666667,0.377675,0.808961,0.567152,2.2721,9.699752,0.083333,0.541667,0.129572,0.763172,0.727072
exact_offset_passkey,311,phasewrap_bias,phasewrap_bias,12,6,12,7,1.0,-1.175135,4.967407,4.173831,-1.175135,4.967407,4.173831,2.149166,8.577705,0.416667,0.499346,0.429688,0.61444,0.215313,3.813748,45.319994,0.166667,0.228042,0.125543,0.335977,0.287588,4.131356,62.26229,0.25,0.29324,0.195754,0.504883,0.347884
tiny_text_fact_qa,311,phasewrap_bias,phasewrap_bias,12,6,12,7,1.0,-1.175135,4.967407,4.173831,-1.175135,4.967407,4.173831,0.298502,1.347839,1.0,1.0,0.745618,0.745618,0.254382,0.392384,1.480506,1.0,1.0,0.677808,0.677808,0.322192,0.551395,1.735672,1.0,1.0,0.581425,0.581425,0.418575
phase_cued_retrieval,311,phasewrap_adapter,phasewrap_adapter,12,6,12,7,1.0,-1.045772,5.011884,4.026889,-1.045772,5.011884,4.026889,0.276802,1.318905,0.833333,0.916667,0.838723,0.899242,0.144709,1.449572,4.261291,0.333333,0.666667,0.382263,0.81149,0.565311,2.252307,9.509653,0.083333,0.541667,0.132805,0.763995,0.792245
exact_offset_passkey,311,phasewrap_adapter,phasewrap_adapter,12,6,12,7,1.0,-1.045772,5.011884,4.026889,-1.045772,5.011884,4.026889,2.173025,8.784821,0.416667,0.492501,0.427008,0.60489,0.207945,3.798564,44.637037,0.166667,0.227269,0.127301,0.329112,0.278807,4.149817,63.422413,0.25,0.290169,0.19274,0.496983,0.341223
tiny_text_fact_qa,311,phasewrap_adapter,phasewrap_adapter,12,6,12,7,1.0,-1.045772,5.011884,4.026889,-1.045772,5.011884,4.026889,0.315574,1.371047,1.0,1.0,0.734206,0.734206,0.265794,0.399755,1.49146,1.0,1.0,0.673323,0.673323,0.326677,0.572874,1.773356,1.0,1.0,0.570946,0.570946,0.429054
phase_cued_retrieval,313,no_position,no_position,12,6,12,7,1.0,0.0,5.448669,8.189669,0.0,5.448669,8.189669,0.028138,1.028538,1.0,1.0,0.973575,0.973575,0.026425,0.563623,1.757027,0.5,0.75,0.617994,0.686057,0.366439,1.064041,2.898058,0.5,0.75,0.421596,0.688847,0.441176
exact_offset_passkey,313,no_position,no_position,12,6,12,7,1.0,0.0,5.448669,8.189669,0.0,5.448669,8.189669,2.765274,15.883396,0.25,0.302681,0.270043,0.322878,0.075287,1.85243,6.375296,0.5,0.574123,0.491289,0.525297,0.075661,3.535133,34.299584,0.25,0.349622,0.254288,0.498741,0.248741
tiny_text_fact_qa,313,no_position,no_position,12,6,12,7,1.0,0.0,5.448669,8.189669,0.0,5.448669,8.189669,0.505584,1.657954,0.916667,0.924242,0.707154,0.709565,0.21916,0.37757,1.458735,1.0,1.0,0.687582,0.687582,0.312418,0.485685,1.625288,1.0,1.0,0.618081,0.618081,0.381919
