support_policy,task,seed,method,stage10_method_alias,train_row_count,validation_row_count,test_row_count,test_support_known_fraction,test_support_missing_mod_count,selected_position_scale,selected_cue_scale,selected_distance_scale,validation_selection_metrics,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error
strict_known_only,phase_cued_retrieval,313,phasewrap_adapter,phasewrap_adapter,4,2,4,0.0,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 1.385966, 'perplexity': 3.998686, 'top1_accuracy': 0.5, 'mrr': 0.625, 'mean_target_probability': 0.362022, 'mean_top1_confidence': 0.404652, 'expected_calibration_error': 0.280868}",0.280745,1.324116,1.0,1.0,0.758663,0.758663,0.241337,1.385966,3.998686,0.5,0.625,0.362022,0.404652,0.280868,3.665724,39.084408,0.0,0.087311,0.02977,0.140153,0.140153
fallback_mod16,phase_cued_retrieval,317,no_position,no_position,4,2,4,0.0,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.699815, 'perplexity': 2.013381, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.497699, 'mean_top1_confidence': 0.497699, 'expected_calibration_error': 0.502301}",0.063514,1.065574,1.0,1.0,0.941564,0.941564,0.058436,0.699815,2.013381,1.0,1.0,0.497699,0.497699,0.502301,0.797054,2.218995,1.0,1.0,0.500811,0.500811,0.499189
fallback_mod16,phase_cued_retrieval,317,sinusoidal,sinusoidal,4,2,4,0.0,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.699815, 'perplexity': 2.013381, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.497699, 'mean_top1_confidence': 0.497699, 'expected_calibration_error': 0.502301}",0.063514,1.065574,1.0,1.0,0.941564,0.941564,0.058436,0.699815,2.013381,1.0,1.0,0.497699,0.497699,0.502301,0.797054,2.218995,1.0,1.0,0.500811,0.500811,0.499189
fallback_mod16,phase_cued_retrieval,317,alibi,alibi,4,2,4,0.0,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.699815, 'perplexity': 2.013381, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.497699, 'mean_top1_confidence': 0.497699, 'expected_calibration_error': 0.502301}",0.063514,1.065574,1.0,1.0,0.941564,0.941564,0.058436,0.699815,2.013381,1.0,1.0,0.497699,0.497699,0.502301,0.797054,2.218995,1.0,1.0,0.500811,0.500811,0.499189
fallback_mod16,phase_cued_retrieval,317,rope_relative,rope,4,2,4,0.0,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.699815, 'perplexity': 2.013381, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.497699, 'mean_top1_confidence': 0.497699, 'expected_calibration_error': 0.502301}",0.063514,1.065574,1.0,1.0,0.941564,0.941564,0.058436,0.699815,2.013381,1.0,1.0,0.497699,0.497699,0.502301,0.797054,2.218995,1.0,1.0,0.500811,0.500811,0.499189
fallback_mod16,phase_cued_retrieval,317,phasewrap_bias,phasewrap_bias,4,2,4,0.0,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.699815, 'perplexity': 2.013381, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.497699, 'mean_top1_confidence': 0.497699, 'expected_calibration_error': 0.502301}",0.063514,1.065574,1.0,1.0,0.941564,0.941564,0.058436,0.699815,2.013381,1.0,1.0,0.497699,0.497699,0.502301,0.797054,2.218995,1.0,1.0,0.500811,0.500811,0.499189
fallback_mod16,phase_cued_retrieval,317,phasewrap_adapter,phasewrap_adapter,4,2,4,0.0,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.699815, 'perplexity': 2.013381, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.497699, 'mean_top1_confidence': 0.497699, 'expected_calibration_error': 0.502301}",0.063514,1.065574,1.0,1.0,0.941564,0.941564,0.058436,0.699815,2.013381,1.0,1.0,0.497699,0.497699,0.502301,0.797054,2.218995,1.0,1.0,0.500811,0.500811,0.499189
strict_known_only,phase_cued_retrieval,317,no_position,no_position,4,2,4,0.0,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 2.044783, 'perplexity': 7.727479, 'top1_accuracy': 0.5, 'mrr': 0.555556, 'mean_target_probability': 0.250888, 'mean_top1_confidence': 0.325759, 'expected_calibration_error': 0.359934}",0.063514,1.065574,1.0,1.0,0.941564,0.941564,0.058436,2.044783,7.727479,0.5,0.555556,0.250888,0.325759,0.359934,3.531595,34.178444,0.0,0.145063,0.043937,0.139213,0.139213
strict_known_only,phase_cued_retrieval,317,sinusoidal,sinusoidal,4,2,4,0.0,4,1.0,4.0,8.0,"{'row_count': 2.0, 'loss': 2.229126, 'perplexity': 9.29174, 'top1_accuracy': 0.5, 'mrr': 0.571429, 'mean_target_probability': 0.200225, 'mean_top1_confidence': 0.35603, 'expected_calibration_error': 0.14397}",0.072079,1.074741,1.0,1.0,0.936357,0.936357,0.063643,2.229126,9.29174,0.5,0.571429,0.200225,0.35603,0.14397,3.229195,25.259326,0.5,0.5375,0.070072,0.140742,0.359258
strict_known_only,phase_cued_retrieval,317,alibi,alibi,4,2,4,0.0,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 2.044783, 'perplexity': 7.727479, 'top1_accuracy': 0.5, 'mrr': 0.555556, 'mean_target_probability': 0.250888, 'mean_top1_confidence': 0.325759, 'expected_calibration_error': 0.359934}",0.063514,1.065574,1.0,1.0,0.941564,0.941564,0.058436,2.044783,7.727479,0.5,0.555556,0.250888,0.325759,0.359934,3.531595,34.178444,0.0,0.145063,0.043937,0.139213,0.139213
