row_count,loss,perplexity,generator_loss,generator_perplexity,top1_accuracy,mrr,generator_top1_accuracy,generator_mrr,mean_target_value_probability,mean_target_attention_probability,mean_generator_target_probability,mean_copy_gate,target_value_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_value_rank,mean_generator_first_relevant_value_rank,method,model_seed,task
20,0.081586,1.085007,6.428278,619.106796,1.0,1.0,0.35,0.354034,0.931641,0.939454,0.33261,0.986682,0.068359,0.931641,0.068359,1.0,117.2,phasewrap_distance_adapter,4337,passkey_exact
20,0.180967,1.198376,7.12047,1237.031213,0.9,0.95,0.2,0.205346,0.882936,0.897602,0.194045,0.983537,0.117064,0.927568,0.076934,1.1,130.1,phasewrap_distance_adapter,4337,multi_needle
20,0.054986,1.056526,3.387167,29.582038,1.0,1.0,0.4,0.436327,0.951785,0.976315,0.392262,0.970635,0.048215,0.945275,0.054725,1.0,69.75,phasewrap_distance_adapter,4337,aggregation
20,0.084097,1.087734,6.284741,536.325135,1.0,1.0,0.35,0.354483,0.929874,0.93995,0.322077,0.977664,0.070126,0.929874,0.070126,1.0,111.9,phasewrap_distance_adapter,4349,passkey_exact
20,0.171834,1.187481,7.021395,1120.348332,0.9,0.95,0.2,0.205248,0.886221,0.903632,0.196663,0.98045,0.113779,0.927065,0.075662,1.1,131.1,phasewrap_distance_adapter,4349,multi_needle
20,0.055524,1.057094,3.569082,35.483993,1.0,1.0,0.4,0.434458,0.95113,0.976329,0.381774,0.964314,0.04887,0.94551,0.05449,1.0,69.95,phasewrap_distance_adapter,4349,aggregation
20,0.110861,1.11724,5.474099,238.435465,0.95,0.975,0.35,0.358731,0.91652,0.930226,0.334398,0.978056,0.08348,0.919943,0.076218,1.05,94.3,phasewrap_multiscale_adapter,4307,passkey_exact
20,0.059239,1.061029,7.216082,1361.146246,0.95,0.975,0.2,0.205189,0.952206,0.969867,0.196447,0.981942,0.047794,0.954076,0.047117,1.05,134.2,phasewrap_multiscale_adapter,4307,multi_needle
20,0.079093,1.082305,3.23372,25.373865,1.0,1.0,0.4,0.435167,0.932696,0.949826,0.375853,0.975432,0.067304,0.912811,0.087189,1.0,64.25,phasewrap_multiscale_adapter,4307,aggregation
20,0.11019,1.11649,5.675036,291.49894,0.95,0.975,0.35,0.354593,0.918336,0.929783,0.335506,0.982159,0.081664,0.92237,0.074471,1.05,112.4,phasewrap_multiscale_adapter,4319,passkey_exact
20,0.060526,1.062395,7.3294,1524.467427,0.95,0.975,0.2,0.205293,0.95308,0.968648,0.191765,0.983997,0.04692,0.95878,0.046301,1.05,137.85,phasewrap_multiscale_adapter,4319,multi_needle
20,0.069718,1.072206,3.326839,27.850172,1.0,1.0,0.45,0.456634,0.94161,0.951617,0.409325,0.976147,0.05839,0.922451,0.077549,1.0,66.6,phasewrap_multiscale_adapter,4319,aggregation
20,0.109768,1.11602,6.066073,430.984811,0.95,0.975,0.35,0.35446,0.917891,0.931166,0.334443,0.976449,0.082109,0.921505,0.073373,1.05,117.35,phasewrap_multiscale_adapter,4327,passkey_exact
20,0.051413,1.052758,7.554079,1908.511806,1.0,1.0,0.2,0.205239,0.955479,0.973389,0.191818,0.98174,0.044521,0.955479,0.044521,1.0,130.35,phasewrap_multiscale_adapter,4327,multi_needle
20,0.07228,1.074956,3.449224,31.475971,1.0,1.0,0.45,0.457413,0.939275,0.950128,0.418837,0.979051,0.060725,0.919876,0.080124,1.0,68.15,phasewrap_multiscale_adapter,4327,aggregation
20,0.107792,1.113816,5.699015,298.573113,0.95,0.975,0.35,0.354292,0.917147,0.934306,0.336559,0.981029,0.082853,0.919144,0.074828,1.05,113.4,phasewrap_multiscale_adapter,4337,passkey_exact
20,0.064377,1.066495,7.224147,1372.168339,0.95,0.975,0.2,0.205118,0.947023,0.970074,0.194276,0.976368,0.052977,0.948199,0.052093,1.05,137.1,phasewrap_multiscale_adapter,4337,multi_needle
20,0.073453,1.076218,3.184413,24.153109,1.0,1.0,0.45,0.460669,0.93711,0.951582,0.42519,0.974735,0.06289,0.916584,0.083416,1.0,63.65,phasewrap_multiscale_adapter,4337,aggregation
20,0.107447,1.113432,5.704498,300.214602,0.95,0.975,0.35,0.355717,0.918202,0.933388,0.32682,0.975093,0.081798,0.920818,0.074163,1.05,108.3,phasewrap_multiscale_adapter,4349,passkey_exact
20,0.059374,1.061172,7.439918,1702.609813,0.95,0.975,0.2,0.205127,0.951855,0.970507,0.196142,0.980933,0.048145,0.953285,0.047436,1.05,138.85,phasewrap_multiscale_adapter,4349,multi_needle
20,0.075717,1.078657,3.550454,34.829123,1.0,1.0,0.4,0.423128,0.935479,0.953117,0.376641,0.97282,0.064521,0.915316,0.084684,1.0,68.75,phasewrap_multiscale_adapter,4349,aggregation
